"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"155.38095164299008","32.0","56.0","2792.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20480.0"
"160.19310784339902","32.0","56.0","2792.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20480.0"
"165.38505387306213","32.0","56.0","2920.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20608.0"
"170.1217501163483","32.0","56.0","3052.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20740.0"
"175.3762068748474","36.0","60.0","3056.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20748.0"
"180.1599853038788","36.0","60.0","3192.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","20884.0"
"185.44611930847168","36.0","60.0","3320.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21016.0"
"190.24108290672302","36.0","60.0","3320.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21016.0"
"195.49763798713684","36.0","60.0","3448.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21144.0"
"200.2936952114105","36.0","60.0","3576.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21272.0"
"205.48215341567996","36.0","60.0","3576.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21272.0"
"210.2560670375824","36.0","64.0","3836.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21528.0"
"215.4517195224762","36.0","64.0","3972.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21664.0"
"220.2047278881073","36.0","64.0","3972.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21664.0"
"225.4954698085785","36.0","64.0","4100.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21792.0"
"230.23361587524414","36.0","64.0","4100.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21792.0"
"235.4353141784668","36.0","64.0","4228.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","21920.0"
