"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"165.38505387306213","32.0","56.0","2820.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20508.0"
"170.1217501163483","32.0","56.0","2820.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20508.0"
"175.3762068748474","36.0","60.0","2952.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20640.0"
"180.1599853038788","36.0","60.0","3088.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20780.0"
"185.44611930847168","36.0","60.0","3088.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20780.0"
"190.24108290672302","36.0","60.0","3220.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","20912.0"
"195.49763798713684","36.0","60.0","3348.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21040.0"
"200.2936952114105","36.0","60.0","3352.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21044.0"
"205.48215341567996","36.0","60.0","3480.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21172.0"
"210.2560670375824","36.0","64.0","3744.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21432.0"
"215.4517195224762","36.0","64.0","3876.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21568.0"
"220.2047278881073","36.0","64.0","3876.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21568.0"
"225.4954698085785","36.0","64.0","4004.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21696.0"
"230.23361587524414","36.0","64.0","4004.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21696.0"
"235.4353141784668","36.0","64.0","4136.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21828.0"
"240.27927494049072","36.0","68.0","4268.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21960.0"
"245.15252542495728","36.0","68.0","4268.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","21960.0"
"250.08290123939514","36.0","68.0","4396.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22088.0"
"255.30395817756653","36.0","76.0","4540.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22232.0"
"260.04613304138184","36.0","76.0","4540.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22232.0"
"265.3039932250977","36.0","76.0","4668.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22360.0"
"270.0930457115173","36.0","76.0","4804.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22496.0"
"275.3051853179932","36.0","76.0","4804.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22496.0"
"280.0650839805603","36.0","76.0","4804.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22496.0"
"285.3486623764038","36.0","76.0","4936.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22628.0"
"290.1025767326355","36.0","76.0","5064.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22756.0"
"295.33869624137884","36.0","76.0","5192.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","22884.0"
"300.0911281108856","36.0","76.0","5320.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23012.0"
"305.31976270675665","36.0","76.0","5320.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23012.0"
"310.1668777465821","36.0","84.0","5464.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23156.0"
"315.02800989151","36.0","88.0","5596.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23284.0"
"320.29408931732183","36.0","88.0","5596.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23284.0"
"325.08230185508734","36.0","88.0","5736.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23428.0"
"330.3993883132934","36.0","88.0","5864.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23556.0"
"335.1776072978973","36.0","88.0","5864.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23556.0"
"340.48176956176763","36.0","88.0","6120.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23812.0"
"345.2256295681","36.0","88.0","6120.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23812.0"
"350.46035838127136","36.0","88.0","6120.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","23812.0"
"355.2342743873596","36.0","88.0","6376.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24068.0"
"360.05942130088806","36.0","92.0","6380.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24072.0"
"365.3228123188019","36.0","92.0","6520.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24216.0"
"370.0927259922028","36.0","92.0","6648.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24344.0"
"375.38166236877436","36.0","92.0","6648.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24344.0"
"380.2076847553253","36.0","92.0","6776.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24472.0"
"385.47482013702387","36.0","92.0","6904.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24600.0"
"390.2725188732147","36.0","92.0","6904.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24600.0"
"395.1080572605133","36.0","92.0","6904.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24600.0"
"400.07996940612793","36.0","100.0","7040.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","28.0","24732.0"
"405.4538025856018","36.0","100.0","7176.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","24872.0"
