"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-95a0451e3abf6eeacc209575ef3943c7","chain1/chunks/data/stream-179e1a20410cfce1ebbb071c9b6379ed","chain1/chunks/data/stream-28cad8bdef17a3852fe39ec50bf2c006","chain1/chunks/data/stream-58cb719ec3ff4ed838e3bdd6b6ff4471","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"140.152334690094","24.0","56.0","120.0","24.0","17436.0","36.0","20.0","20.0","1028.0","4.0","1028.0","1028.0","4.0","3096.0","28.0","3156.0","20.0","20872.0"
"145.0611848831177","24.0","60.0","124.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23952.0"
"150.3879461288452","24.0","64.0","132.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23964.0"
"155.33198666572568","24.0","64.0","132.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23964.0"
"160.05315351486206","24.0","64.0","132.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23964.0"
"165.43060493469238","24.0","64.0","132.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23964.0"
"170.2699568271637","24.0","64.0","136.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23968.0"
"175.03476810455322","24.0","64.0","136.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23968.0"
"180.32369780540463","24.0","72.0","148.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","28.0","6232.0","20.0","23980.0"
"185.2030954360962","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6236.0","20.0","23988.0"
"190.43141889572144","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6236.0","20.0","23988.0"
"195.26547288894653","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6236.0","20.0","23988.0"
"200.12030935287478","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","23992.0"
"205.37251019477844","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","23992.0"
"210.1997013092041","24.0","72.0","152.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","23992.0"
"215.07529759407043","24.0","72.0","156.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","23996.0"
"220.40242767333984","24.0","80.0","168.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","24004.0"
"225.3366320133209","24.0","80.0","168.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","24004.0"
"230.24430704116818","24.0","84.0","172.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","24008.0"
"235.03462314605716","24.0","84.0","176.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","32.0","6240.0","20.0","24012.0"
"240.30668592453003","24.0","84.0","176.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","36.0","6244.0","20.0","24016.0"
"245.10067224502563","24.0","84.0","176.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","40.0","6248.0","20.0","24020.0"
"250.3621687889099","24.0","84.0","176.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","40.0","6248.0","20.0","24020.0"
"255.21918058395386","24.0","84.0","176.0","24.0","17436.0","36.0","20.0","24.0","2052.0","4.0","2052.0","2052.0","4.0","6168.0","40.0","6248.0","20.0","24024.0"
"260.05153441429144","24.0","92.0","188.0","24.0","17436.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27108.0"
"265.31529331207275","24.0","92.0","192.0","24.0","17436.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27112.0"
"270.1799352169037","24.0","92.0","192.0","24.0","17436.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27112.0"
"275.0495615005493","24.0","92.0","192.0","24.0","17436.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27112.0"
"280.40886545181274","24.0","92.0","192.0","24.0","17436.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27112.0"
"285.33318281173706","24.0","96.0","196.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27120.0"
"290.1663069725037","24.0","96.0","196.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27120.0"
"295.48148465156555","24.0","96.0","200.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","40.0","9324.0","20.0","27124.0"
"300.335476398468","24.0","96.0","200.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27136.0"
"305.1743912696838","24.0","96.0","200.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27136.0"
"310.4420487880707","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"315.34705924987793","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"320.10302352905273","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"325.4001252651214","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"330.2177617549896","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"335.0874972343445","24.0","96.0","204.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27140.0"
"340.4056668281555","24.0","104.0","216.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27148.0"
"345.3886544704437","24.0","108.0","224.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27156.0"
"350.2043435573578","24.0","108.0","224.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","44.0","9332.0","20.0","27156.0"
"355.47028517723083","24.0","108.0","228.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","48.0","9336.0","20.0","27164.0"
"360.24087500572205","24.0","108.0","228.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","48.0","9336.0","20.0","27164.0"
"365.2089405059815","24.0","108.0","228.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","48.0","9336.0","20.0","27164.0"
"370.4869456291199","24.0","108.0","228.0","28.0","17440.0","36.0","20.0","28.0","3076.0","4.0","3076.0","3076.0","4.0","9240.0","48.0","9336.0","20.0","27164.0"
"375.32264947891235","24.0","112.0","236.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29220.0"
"380.06465768814087","24.0","112.0","236.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29220.0"
"385.31599378585815","24.0","112.0","236.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29220.0"
"390.0999343395233","24.0","112.0","236.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29220.0"
"395.4848611354828","24.0","112.0","236.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29220.0"
"400.3474748134613","24.0","112.0","240.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29224.0"
"405.2925035953522","24.0","112.0","240.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11384.0","20.0","29224.0"
"410.16361618041987","24.0","112.0","240.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","48.0","11388.0","20.0","29228.0"
"415.4868786334992","24.0","112.0","240.0","28.0","17440.0","36.0","20.0","28.0","4100.0","4.0","4100.0","3076.0","4.0","11288.0","52.0","11392.0","20.0","29236.0"
"420.441704750061","24.0","124.0","256.0","28.0","17440.0","36.0","20.0","32.0","4100.0","4.0","4100.0","4100.0","4.0","12312.0","52.0","12420.0","20.0","30280.0"
"425.3192367553711","24.0","124.0","256.0","28.0","17440.0","36.0","20.0","32.0","4100.0","4.0","4100.0","4100.0","4.0","12312.0","52.0","12420.0","20.0","30280.0"
"430.2046422958374","24.0","124.0","256.0","28.0","17440.0","36.0","20.0","32.0","4100.0","4.0","4100.0","4100.0","4.0","12312.0","52.0","12420.0","20.0","30280.0"
"435.0252349376679","24.0","124.0","256.0","28.0","17440.0","36.0","20.0","32.0","4100.0","4.0","4100.0","4100.0","4.0","12312.0","52.0","12420.0","20.0","30280.0"
"440.32519507408136","24.0","124.0","256.0","28.0","17440.0","36.0","20.0","32.0","4100.0","4.0","4100.0","4100.0","4.0","12312.0","52.0","12424.0","20.0","30284.0"
