"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-179e1a20410cfce1ebbb071c9b6379ed","chain1/chunks/data/stream-28cad8bdef17a3852fe39ec50bf2c006","chain1/chunks/data/stream-58cb719ec3ff4ed838e3bdd6b6ff4471","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"150.3879461288452","32.0","52.0","64.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21856.0"
"155.33198666572568","32.0","52.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"160.05315351486206","32.0","52.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"165.43060493469238","32.0","52.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"170.2699568271637","32.0","52.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"175.03476810455322","32.0","52.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"180.32369780540463","32.0","56.0","72.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21864.0"
"185.2030954360962","32.0","56.0","76.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21868.0"
"190.43141889572144","32.0","56.0","76.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21868.0"
"195.26547288894653","32.0","56.0","76.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21868.0"
"200.12030935287478","32.0","56.0","76.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21872.0"
"205.37251019477844","32.0","56.0","76.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21872.0"
"210.1997013092041","32.0","60.0","80.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21876.0"
"215.07529759407043","32.0","60.0","80.0","28.0","17440.0","16.0","28.0","28.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4188.0","28.0","21876.0"
"220.40242767333984","32.0","64.0","88.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4192.0","28.0","21888.0"
"225.3366320133209","32.0","64.0","88.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4192.0","28.0","21888.0"
"230.24430704116818","32.0","68.0","88.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4192.0","28.0","21888.0"
"235.03462314605716","32.0","68.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","32.0","4192.0","28.0","21892.0"
"240.30668592453003","32.0","68.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","36.0","4196.0","28.0","21896.0"
"245.10067224502563","32.0","68.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","36.0","4196.0","28.0","21900.0"
"250.3621687889099","32.0","68.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","36.0","4196.0","28.0","21900.0"
"255.21918058395386","32.0","68.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","2052.0","2052.0","4.0","4116.0","36.0","4196.0","28.0","21900.0"
"260.05153441429144","32.0","72.0","92.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6244.0","28.0","23944.0"
"265.31529331207275","32.0","72.0","96.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6244.0","28.0","23948.0"
"270.1799352169037","32.0","72.0","96.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6244.0","28.0","23948.0"
"275.0495615005493","32.0","72.0","96.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6244.0","28.0","23948.0"
"280.40886545181274","32.0","72.0","96.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6244.0","28.0","23948.0"
"285.33318281173706","36.0","76.0","104.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23964.0"
"290.1663069725037","36.0","76.0","104.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23964.0"
"295.48148465156555","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"300.335476398468","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"305.1743912696838","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"310.4420487880707","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"315.34705924987793","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"320.10302352905273","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"325.4001252651214","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23968.0"
"330.2177617549896","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23972.0"
"335.0874972343445","36.0","76.0","108.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23972.0"
"340.4056668281555","36.0","80.0","112.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23972.0"
"345.3886544704437","36.0","84.0","116.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23976.0"
"350.2043435573578","36.0","84.0","116.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","36.0","6248.0","28.0","23976.0"
"355.47028517723083","36.0","84.0","120.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","40.0","6252.0","28.0","23984.0"
"360.24087500572205","36.0","84.0","120.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","40.0","6252.0","28.0","23984.0"
"365.2089405059815","36.0","84.0","120.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","40.0","6252.0","28.0","23984.0"
"370.4869456291199","36.0","84.0","120.0","32.0","17444.0","16.0","28.0","32.0","4.0","3076.0","3076.0","4.0","6164.0","40.0","6252.0","28.0","23984.0"
"375.32264947891235","36.0","88.0","120.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25008.0"
"380.06465768814087","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25012.0"
"385.31599378585815","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25012.0"
"390.0999343395233","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25012.0"
"395.4848611354828","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25012.0"
"400.3474748134613","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25016.0"
"405.2925035953522","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25016.0"
"410.16361618041987","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25016.0"
"415.4868786334992","36.0","88.0","124.0","32.0","17444.0","16.0","28.0","32.0","4.0","4100.0","3076.0","4.0","7188.0","40.0","7276.0","28.0","25016.0"
"420.441704750061","36.0","92.0","124.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8304.0","28.0","26048.0"
"425.3192367553711","36.0","92.0","128.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8304.0","28.0","26052.0"
"430.2046422958374","36.0","92.0","132.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8304.0","28.0","26056.0"
"435.0252349376679","36.0","92.0","132.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8304.0","28.0","26056.0"
"440.32519507408136","36.0","92.0","132.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8304.0","28.0","26056.0"
"445.2006328105927","36.0","92.0","132.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8308.0","28.0","26060.0"
"450.4796838760376","36.0","96.0","132.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8308.0","28.0","26060.0"
"455.4246437549591","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","40.0","8308.0","28.0","26064.0"
"460.1656777858734","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","44.0","8312.0","28.0","26068.0"
"465.2726502418518","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","44.0","8312.0","28.0","26072.0"
"470.1392979621887","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","44.0","8312.0","28.0","26072.0"
"475.389769077301","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","44.0","8312.0","28.0","26072.0"
"480.1812980175018","36.0","96.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","4100.0","4100.0","4.0","8212.0","48.0","8316.0","28.0","26076.0"
"485.0206451416016","36.0","100.0","136.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27100.0"
"490.33974528312683","36.0","100.0","140.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27104.0"
"495.16812324523926","36.0","100.0","144.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27112.0"
"500.09265613555914","36.0","100.0","144.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27112.0"
"505.41525173187256","36.0","100.0","144.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27112.0"
"510.2995884418488","36.0","100.0","144.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","4100.0","4.0","9236.0","48.0","9340.0","32.0","27112.0"
"515.1833567619324","36.0","108.0","148.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28136.0"
"520.0589573383331","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"525.4859075546265","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"530.3581845760344","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28144.0"
"535.2126331329347","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"540.4751632213594","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"545.3273682594298","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"550.1967339515686","36.0","108.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"555.0439977645874","36.0","112.0","152.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28140.0"
"560.3522033691406","36.0","112.0","156.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28144.0"
"565.2441852092742","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28148.0"
"570.1223332881927","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28148.0"
"575.0325009822844","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","48.0","10364.0","32.0","28148.0"
"580.4327492713927","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","52.0","10368.0","32.0","28152.0"
"585.3171756267548","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","52.0","10368.0","32.0","28152.0"
"590.2244157791138","36.0","112.0","160.0","36.0","17448.0","16.0","28.0","36.0","4.0","5124.0","5124.0","4.0","10260.0","52.0","10372.0","32.0","28160.0"
"595.0686333179474","36.0","120.0","164.0","36.0","17448.0","16.0","28.0","36.0","4.0","6148.0","5124.0","4.0","11284.0","52.0","11396.0","32.0","29184.0"
