"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-179e1a20410cfce1ebbb071c9b6379ed","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"180.32369780540463","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"185.2030954360962","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"190.43141889572144","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"195.26547288894653","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"200.12030935287478","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"205.37251019477844","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17708.0"
"210.1997013092041","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"215.07529759407043","32.0","28.0","36.0","28.0","17440.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"220.40242767333984","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"225.3366320133209","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"230.24430704116818","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"235.03462314605716","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"240.30668592453003","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"245.10067224502563","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"250.3621687889099","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"255.21918058395386","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"260.05153441429144","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"265.31529331207275","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"270.1799352169037","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"275.0495615005493","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"280.40886545181274","32.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17712.0"
"285.33318281173706","36.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17716.0"
"290.1663069725037","36.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17716.0"
"295.48148465156555","36.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17720.0"
"300.335476398468","36.0","28.0","36.0","32.0","17444.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","28.0","17720.0"
